Symbol,Model,Request Time,Prompt,Response Time,Analysis,Majority,Exec Time (s)
NVDA,llama3.2:latest,2025-07-05 17:45:50,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Better Artificial Intelligence Stock: Nvidia vs. Meta Platforms ",2025-07-05 17:45:53,positive,positive,2.784
NVDA,gemma3:1b,2025-07-05 17:45:53,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Greed Mode On: Why Tesla, Nvidia, Palantir And Bitcoin Plays Could Rip ",2025-07-05 17:45:55,negative,negative,2.451
NVDA,mistral:7b,2025-07-05 17:45:55,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Greed Mode On: Why Tesla, Nvidia, Palantir And Bitcoin Plays Could Rip ",2025-07-05 17:46:00,positive,negative,4.840
NVDA,llama3.2:latest,2025-07-05 17:46:00,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Greed Mode On: Why Tesla, Nvidia, Palantir And Bitcoin Plays Could Rip ",2025-07-05 17:46:03,negative,negative,3.104
NVDA,gemma3:1b,2025-07-05 17:46:03,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Nvidia Nears $4T: Will It Break Out Next Week? - NVIDIA - Benzinga ",2025-07-05 17:46:06,positive,positive,2.530
NVDA,mistral:7b,2025-07-05 17:46:06,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Nvidia Nears $4T: Will It Break Out Next Week? - NVIDIA - Benzinga ",2025-07-05 17:46:10,positive,positive,4.817
NVDA,llama3.2:latest,2025-07-05 17:46:10,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Nvidia Nears $4T: Will It Break Out Next Week? - NVIDIA - Benzinga ",2025-07-05 17:46:14,positive,positive,3.179
NVDA,gemma3:1b,2025-07-05 17:46:14,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Nvidia's $4T Countdown: Will Next Week's Chart Print A Trillion-Dollar Breakout? ",2025-07-05 17:46:16,positive,positive,2.625
NVDA,mistral:7b,2025-07-05 17:46:16,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Nvidia's $4T Countdown: Will Next Week's Chart Print A Trillion-Dollar Breakout? ",2025-07-05 17:46:21,positive,positive,4.919
NVDA,llama3.2:latest,2025-07-05 17:46:21,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: Nvidia's $4T Countdown: Will Next Week's Chart Print A Trillion-Dollar Breakout? ",2025-07-05 17:46:24,positive.,positive,3.258
NVDA,gemma3:1b,2025-07-05 17:46:24,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: If I Could Load Up on Any Artificial Intelligence Stock, It Would Be This One (Hint: It's Not Nvidia) ",2025-07-05 17:46:27,neutral,neutral,2.562
NVDA,mistral:7b,2025-07-05 17:46:27,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: If I Could Load Up on Any Artificial Intelligence Stock, It Would Be This One (Hint: It's Not Nvidia) ",2025-07-05 17:46:33,neutral,neutral,5.624
NVDA,llama3.2:latest,2025-07-05 17:46:33,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: If I Could Load Up on Any Artificial Intelligence Stock, It Would Be This One (Hint: It's Not Nvidia) ",2025-07-05 17:46:36,neutral,neutral,3.353
NVDA,gemma3:1b,2025-07-05 17:46:36,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: US Plans AI Chip Curbs on Malaysia, Thailand Over China Concerns ",2025-07-05 17:46:38,negative,neutral,2.451
NVDA,mistral:7b,2025-07-05 17:46:38,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: US Plans AI Chip Curbs on Malaysia, Thailand Over China Concerns ",2025-07-05 17:46:43,neutral,neutral,4.562
NVDA,llama3.2:latest,2025-07-05 17:46:43,"Analyze the following news for sentiment (positive, negative, neutral) for the stock NVDA. Respond with one word: positive, negative, or neutral.
News: US Plans AI Chip Curbs on Malaysia, Thailand Over China Concerns ",2025-07-05 17:46:46,neutral,neutral,2.939
GOOGL,gemma3:1b,2025-07-05 17:46:46,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google's AI Overviews Features Sparks New Antitrust Battle With European Publishers: Report ",2025-07-05 17:46:49,negative,negative,2.704
GOOGL,mistral:7b,2025-07-05 17:46:49,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google's AI Overviews Features Sparks New Antitrust Battle With European Publishers: Report ",2025-07-05 17:46:55,negative,negative,6.449
GOOGL,llama3.2:latest,2025-07-05 17:46:55,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google's AI Overviews Features Sparks New Antitrust Battle With European Publishers: Report ",2025-07-05 17:46:59,negative,negative,3.740
GOOGL,gemma3:1b,2025-07-05 17:46:59,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google Faces AI Overviews Backlash from European Publishers ",2025-07-05 17:47:01,negative,negative,2.445
GOOGL,mistral:7b,2025-07-05 17:47:01,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google Faces AI Overviews Backlash from European Publishers ",2025-07-05 17:47:05,negative,negative,3.770
GOOGL,llama3.2:latest,2025-07-05 17:47:05,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google Faces AI Overviews Backlash from European Publishers ",2025-07-05 17:47:08,negative,negative,2.770
GOOGL,gemma3:1b,2025-07-05 17:47:08,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google faces EU antitrust complaint over AI Overviews as independent publishers seek action - Reuters ",2025-07-05 17:47:10,negative,negative,2.421
GOOGL,mistral:7b,2025-07-05 17:47:10,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google faces EU antitrust complaint over AI Overviews as independent publishers seek action - Reuters ",2025-07-05 17:47:15,negative,negative,4.508
GOOGL,llama3.2:latest,2025-07-05 17:47:15,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google faces EU antitrust complaint over AI Overviews as independent publishers seek action - Reuters ",2025-07-05 17:47:18,negative,negative,3.043
GOOGL,gemma3:1b,2025-07-05 17:47:18,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google may be next to settle Trump social media lawsuits after Meta and Musk - report ",2025-07-05 17:47:20,negative,neutral.,2.428
GOOGL,mistral:7b,2025-07-05 17:47:20,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google may be next to settle Trump social media lawsuits after Meta and Musk - report ",2025-07-05 17:47:25,neutral,neutral.,4.493
GOOGL,llama3.2:latest,2025-07-05 17:47:25,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google may be next to settle Trump social media lawsuits after Meta and Musk - report ",2025-07-05 17:47:28,neutral.,neutral.,3.250
GOOGL,gemma3:1b,2025-07-05 17:47:28,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Could This Surprise Company Become Nvidia's Biggest Competitor? ",2025-07-05 17:47:30,positive,neutral,2.428
GOOGL,mistral:7b,2025-07-05 17:47:30,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Could This Surprise Company Become Nvidia's Biggest Competitor? ",2025-07-05 17:47:40,neutral (the headline is speculative and does not provide specific information about google's performance or impact on the competition.),neutral,9.461
GOOGL,llama3.2:latest,2025-07-05 17:47:40,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Could This Surprise Company Become Nvidia's Biggest Competitor? ",2025-07-05 17:47:43,neutral,neutral,2.936
GOOGL,gemma3:1b,2025-07-05 17:47:43,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Prediction: 2 Stocks That Will Be Worth More Than Nvidia 5 Years From Now ",2025-07-05 17:47:45,positive,negative,2.496
GOOGL,mistral:7b,2025-07-05 17:47:45,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Prediction: 2 Stocks That Will Be Worth More Than Nvidia 5 Years From Now ",2025-07-05 17:47:50,neutral,negative,5.155
GOOGL,llama3.2:latest,2025-07-05 17:47:50,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Prediction: 2 Stocks That Will Be Worth More Than Nvidia 5 Years From Now ",2025-07-05 17:47:54,negative,negative,3.162
GOOGL,gemma3:1b,2025-07-05 17:47:54,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google Rolls Out Its Newest AI Video Creation Tool ",2025-07-05 17:47:56,positive,positive,2.407
GOOGL,mistral:7b,2025-07-05 17:47:56,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google Rolls Out Its Newest AI Video Creation Tool ",2025-07-05 17:48:00,positive,positive,3.792
GOOGL,llama3.2:latest,2025-07-05 17:48:00,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google Rolls Out Its Newest AI Video Creation Tool ",2025-07-05 17:48:03,neutral.,positive,2.866
GOOGL,gemma3:1b,2025-07-05 17:48:03,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google begins ‘productive’ settlement talks with Trump lawyers, Atlantic says ",2025-07-05 17:48:05,neutral,neutral,2.400
GOOGL,mistral:7b,2025-07-05 17:48:05,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google begins ‘productive’ settlement talks with Trump lawyers, Atlantic says ",2025-07-05 17:48:09,neutral,neutral,4.049
GOOGL,llama3.2:latest,2025-07-05 17:48:09,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google begins ‘productive’ settlement talks with Trump lawyers, Atlantic says ",2025-07-05 17:48:12,neutral,neutral,2.893
GOOGL,gemma3:1b,2025-07-05 17:48:12,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: How Google Plans to Rebuild Trust with Publishers as AI Reduces Web Traffic ",2025-07-05 17:48:14,negative,positive,2.421
GOOGL,mistral:7b,2025-07-05 17:48:14,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: How Google Plans to Rebuild Trust with Publishers as AI Reduces Web Traffic ",2025-07-05 17:48:19,neutral,positive,4.643
GOOGL,llama3.2:latest,2025-07-05 17:48:19,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: How Google Plans to Rebuild Trust with Publishers as AI Reduces Web Traffic ",2025-07-05 17:48:22,positive,positive,3.009
GOOGL,gemma3:1b,2025-07-05 17:48:22,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google releases new AI video generation model worldwide ",2025-07-05 17:48:24,positive,positive,2.350
GOOGL,mistral:7b,2025-07-05 17:48:24,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google releases new AI video generation model worldwide ",2025-07-05 17:48:28,positive,positive,3.691
GOOGL,llama3.2:latest,2025-07-05 17:48:28,"Analyze the following news for sentiment (positive, negative, neutral) for the stock GOOGL. Respond with one word: positive, negative, or neutral.
News: Google releases new AI video generation model worldwide ",2025-07-05 17:48:31,neutral,positive,2.849
ISRG,gemma3:1b,2025-07-05 17:48:31,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Benjamin Graham Detailed Fundamental Analysis - ISRG ",2025-07-05 17:48:34,neutral,neutral,2.558
ISRG,mistral:7b,2025-07-05 17:48:34,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Benjamin Graham Detailed Fundamental Analysis - ISRG ",2025-07-05 17:48:39,neutral,neutral,5.814
ISRG,llama3.2:latest,2025-07-05 17:48:39,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Benjamin Graham Detailed Fundamental Analysis - ISRG ",2025-07-05 17:48:43,neutral,neutral,3.432
ISRG,gemma3:1b,2025-07-05 17:48:43,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Intuitive Surgical's 23% CAGR outpaced the company's earnings growth over the same five-year period ",2025-07-05 17:48:46,positive,positive,2.607
ISRG,mistral:7b,2025-07-05 17:48:46,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Intuitive Surgical's 23% CAGR outpaced the company's earnings growth over the same five-year period ",2025-07-05 17:48:56,neutral (there is no clear sentiment about the future in this news. the statement discusses past performance.),positive,10.288
ISRG,llama3.2:latest,2025-07-05 17:48:56,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Intuitive Surgical's 23% CAGR outpaced the company's earnings growth over the same five-year period ",2025-07-05 17:48:59,neutral.,positive,3.506
ISRG,gemma3:1b,2025-07-05 17:48:59,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Intuitive Surgical (NasdaqGS:ISRG) Expands Da Vinci Surgical System Presence In European Market ",2025-07-05 17:49:02,neutral,neutral,2.512
ISRG,mistral:7b,2025-07-05 17:49:02,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Intuitive Surgical (NasdaqGS:ISRG) Expands Da Vinci Surgical System Presence In European Market ",2025-07-05 17:49:07,neutral,neutral,5.364
ISRG,llama3.2:latest,2025-07-05 17:49:07,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Intuitive Surgical (NasdaqGS:ISRG) Expands Da Vinci Surgical System Presence In European Market ",2025-07-05 17:49:10,neutral,neutral,3.164
ISRG,gemma3:1b,2025-07-05 17:49:10,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Can ISRG Maintain Robotics Edge Amid Rising Rivalry & Budget Strain? ",2025-07-05 17:49:13,negative,negative.,2.522
ISRG,mistral:7b,2025-07-05 17:49:13,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Can ISRG Maintain Robotics Edge Amid Rising Rivalry & Budget Strain? ",2025-07-05 17:49:18,neutral,negative.,5.113
ISRG,llama3.2:latest,2025-07-05 17:49:18,"Analyze the following news for sentiment (positive, negative, neutral) for the stock ISRG. Respond with one word: positive, negative, or neutral.
News: Can ISRG Maintain Robotics Edge Amid Rising Rivalry & Budget Strain? ",2025-07-05 17:49:21,negative.,negative.,3.144
RNW,gemma3:1b,2025-07-05 17:49:21,"Analyze the following news for sentiment (positive, negative, neutral) for the stock RNW. Respond with one word: positive, negative, or neutral.
News: ReNew Energy Receives Acquisition Offer from Consortium ",2025-07-05 17:49:24,neutral,neutral,2.641
RNW,mistral:7b,2025-07-05 17:49:24,"Analyze the following news for sentiment (positive, negative, neutral) for the stock RNW. Respond with one word: positive, negative, or neutral.
News: ReNew Energy Receives Acquisition Offer from Consortium ",2025-07-05 17:49:30,positive,neutral,6.549
RNW,llama3.2:latest,2025-07-05 17:49:30,"Analyze the following news for sentiment (positive, negative, neutral) for the stock RNW. Respond with one word: positive, negative, or neutral.
News: ReNew Energy Receives Acquisition Offer from Consortium ",2025-07-05 17:49:34,neutral,neutral,3.427
PANW,gemma3:1b,2025-07-05 17:49:34,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: Validea Detailed Fundamental Analysis - PANW ",2025-07-05 17:49:37,neutral,neutral,2.621
PANW,mistral:7b,2025-07-05 17:49:37,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: Validea Detailed Fundamental Analysis - PANW ",2025-07-05 17:49:47,neutral (as it presents a detailed analysis but does not offer a clear sentiment about the stock),neutral,10.469
PANW,llama3.2:latest,2025-07-05 17:49:47,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: Validea Detailed Fundamental Analysis - PANW ",2025-07-05 17:49:50,neutral,neutral,3.373
PANW,gemma3:1b,2025-07-05 17:49:50,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: Thursday Sector Leaders: Technology & Communications, Utilities ",2025-07-05 17:49:53,neutral,neutral,2.396
PANW,mistral:7b,2025-07-05 17:49:53,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: Thursday Sector Leaders: Technology & Communications, Utilities ",2025-07-05 17:49:57,neutral,neutral,3.990
PANW,llama3.2:latest,2025-07-05 17:49:57,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: Thursday Sector Leaders: Technology & Communications, Utilities ",2025-07-05 17:50:00,neutral,neutral,2.809
PANW,gemma3:1b,2025-07-05 17:50:00,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: Is It Too Late to Buy Palo Alto Networks Stock? ",2025-07-05 17:50:02,negative,neutral,2.426
PANW,mistral:7b,2025-07-05 17:50:02,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: Is It Too Late to Buy Palo Alto Networks Stock? ",2025-07-05 17:50:13,"neutral (the headline itself does not convey a clear positive or negative sentiment, but it is asking a question, which implies some level of uncertainty or caution.)",neutral,11.119
PANW,llama3.2:latest,2025-07-05 17:50:13,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: Is It Too Late to Buy Palo Alto Networks Stock? ",2025-07-05 17:50:16,neutral,neutral,2.840
PANW,gemma3:1b,2025-07-05 17:50:16,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: SoftBank's Masayoshi Son Lived Life Like 'Benjamin Button' — Nikesh Arora Says He Took Every Risk His Mother Warned Him About And Struck Gold With Alibaba, ARM ",2025-07-05 17:50:19,neutral,neutral,2.781
PANW,mistral:7b,2025-07-05 17:50:19,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: SoftBank's Masayoshi Son Lived Life Like 'Benjamin Button' — Nikesh Arora Says He Took Every Risk His Mother Warned Him About And Struck Gold With Alibaba, ARM ",2025-07-05 17:50:34,neutral (the news does not provide direct sentiment about the stock panw),neutral,14.761
PANW,llama3.2:latest,2025-07-05 17:50:34,"Analyze the following news for sentiment (positive, negative, neutral) for the stock PANW. Respond with one word: positive, negative, or neutral.
News: SoftBank's Masayoshi Son Lived Life Like 'Benjamin Button' — Nikesh Arora Says He Took Every Risk His Mother Warned Him About And Struck Gold With Alibaba, ARM ",2025-07-05 17:50:38,neutral,neutral,4.149
AI,gemma3:1b,2025-07-05 17:50:38,"Analyze the following news for sentiment (positive, negative, neutral) for the stock AI. Respond with one word: positive, negative, or neutral.
News: These Are the Smartest Growth Stocks to Invest $1,000 in Today ",2025-07-05 17:50:40,positive,positive,2.621
AI,mistral:7b,2025-07-05 17:50:40,"Analyze the following news for sentiment (positive, negative, neutral) for the stock AI. Respond with one word: positive, negative, or neutral.
News: These Are the Smartest Growth Stocks to Invest $1,000 in Today ",2025-07-05 17:50:48,positive,positive,7.279
AI,llama3.2:latest,2025-07-05 17:50:48,"Analyze the following news for sentiment (positive, negative, neutral) for the stock AI. Respond with one word: positive, negative, or neutral.
News: These Are the Smartest Growth Stocks to Invest $1,000 in Today ",2025-07-05 17:50:51,positive,positive,3.697
OPEN,gemma3:1b,2025-07-05 17:50:51,"Analyze the following news for sentiment (positive, negative, neutral) for the stock OPEN. Respond with one word: positive, negative, or neutral.
News: Cerus Leads The Pack Of 3 Promising Penny Stocks ",2025-07-05 17:50:54,positive,positive,2.634
OPEN,mistral:7b,2025-07-05 17:50:54,"Analyze the following news for sentiment (positive, negative, neutral) for the stock OPEN. Respond with one word: positive, negative, or neutral.
News: Cerus Leads The Pack Of 3 Promising Penny Stocks ",2025-07-05 17:51:01,neutral,positive,6.978
OPEN,llama3.2:latest,2025-07-05 17:51:01,"Analyze the following news for sentiment (positive, negative, neutral) for the stock OPEN. Respond with one word: positive, negative, or neutral.
News: Cerus Leads The Pack Of 3 Promising Penny Stocks ",2025-07-05 17:51:05,positive,positive,3.512
OPEN,gemma3:1b,2025-07-05 17:51:05,"Analyze the following news for sentiment (positive, negative, neutral) for the stock OPEN. Respond with one word: positive, negative, or neutral.
News: Why Opendoor Technologies Stock Swooned in June ",2025-07-05 17:51:07,negative,negative,2.359
OPEN,mistral:7b,2025-07-05 17:51:07,"Analyze the following news for sentiment (positive, negative, neutral) for the stock OPEN. Respond with one word: positive, negative, or neutral.
News: Why Opendoor Technologies Stock Swooned in June ",2025-07-05 17:51:11,negative,negative,3.820
OPEN,llama3.2:latest,2025-07-05 17:51:11,"Analyze the following news for sentiment (positive, negative, neutral) for the stock OPEN. Respond with one word: positive, negative, or neutral.
News: Why Opendoor Technologies Stock Swooned in June ",2025-07-05 17:51:14,neutral,negative,2.855
CDNS,gemma3:1b,2025-07-05 17:51:14,"Analyze the following news for sentiment (positive, negative, neutral) for the stock CDNS. Respond with one word: positive, negative, or neutral.
News: Validea Detailed Fundamental Analysis - CDNS ",2025-07-05 17:51:17,neutral,neutral,2.551
CDNS,mistral:7b,2025-07-05 17:51:17,"Analyze the following news for sentiment (positive, negative, neutral) for the stock CDNS. Respond with one word: positive, negative, or neutral.
News: Validea Detailed Fundamental Analysis - CDNS ",2025-07-05 17:51:23,neutral,neutral,6.168
CDNS,llama3.2:latest,2025-07-05 17:51:23,"Analyze the following news for sentiment (positive, negative, neutral) for the stock CDNS. Respond with one word: positive, negative, or neutral.
News: Validea Detailed Fundamental Analysis - CDNS ",2025-07-05 17:51:26,neutral,neutral,3.419
CDNS,gemma3:1b,2025-07-05 17:51:26,"Analyze the following news for sentiment (positive, negative, neutral) for the stock CDNS. Respond with one word: positive, negative, or neutral.
News: How Should You Play CDNS Stock as US Lifts Export Restrictions on Cadence Design Systems? ",2025-07-05 17:51:29,neutral,neutral,2.567
